Disease,Symptoms,Precautions,Drugs
Wolff-Parkinson-White Syndrome,Rapid heartbeat - Palpitations - Dizziness - Fainting,Medications - Radiofrequency catheter ablation,Adenosine - Beta blockers
Lactose Intolerance,Abdominal pain - Diarrhea - Bloating - Flatulence - Nausea,Limiting lactose intake - Lactase supplements - Dairy alternatives,Lactase supplements - Probiotics
Hirschsprung's Disease,Chronic constipation - Abdominal distension - Vomiting - Failure to thrive,Surgery - Medications for symptom management,Colostomy - Bowel resection
Staphylococcal Infections,Skin infections - Abscesses - Boils - Pneumonia - Bloodstream infections,Proper hygiene - Antibiotics - Wound care - Infection control,Cephalexin - Vancomycin
Myocardial Infarction (Heart Attack),Chest pain or discomfort - Shortness of breath - Sweating - Nausea,Immediate medical attention - Aspirin - Nitroglycerin - Oxygen therapy,Thrombolytics - Beta blockers
Achalasia,Dysphagia - Regurgitation - Chest pain - Weight loss,Dilation - Botox injections - Medications - Surgery,Nitrates - Calcium channel blockers
Myelodysplastic Syndromes (MDS),Fatigue - Weakness - Shortness of breath - Easy bruising - Infections,Blood transfusions - Medications - Bone marrow transplant - Supportive care,Azacitidine - Lenalidomide
Vestibular Neuritis,Dizziness - Vertigo - Nausea - Unsteady gait,Rest - Medications for nausea - Vestibular rehabilitation,Meclizine - Dimenhydrinate
Chronic Myeloid Leukemia (CML),Fatigue - Enlarged spleen - Night sweats - Weight loss,Tyrosine kinase inhibitors - Chemotherapy - Bone marrow transplant,Imatinib - Dasatinib
Chronic Obstructive Pulmonary Disease (COPD),Chronic cough - Shortness of breath - Wheezing - Chest tightness,Smoking cessation - Bronchodilators - Inhaled corticosteroids - Pulmonary rehabilitation,Albuterol - Tiotropium
Cervical Dysplasia,Abnormal Pap smear results - Genital warts - Vaginal bleeding,Monitoring - Medications - Cryotherapy - Loop electrosurgical excision procedure (LEEP),Imiquimod - Podophyllin
Prader-Willi Syndrome,Feeding difficulties in infancy - Hyperphagia (overeating) - Obesity - Intellectual disability - Hypogonadism,Early intervention - Growth hormone therapy - Behavior management,Genotropin - Levothyroxine
Hepatitis B,Jaundice - Fatigue - Abdominal pain - Dark urine - Joint pain,HBV vaccination - Antiviral medications - Safe sex practices - Avoidance of contaminated blood,Tenofovir - Entecavir
Hepatitis C,Jaundice - Fatigue - Abdominal pain - Dark urine - Joint pain,Direct-acting antiviral drugs - Peginterferon - Ribavirin,Sofosbuvir - Ledipasvir
Inflammatory Bowel Disease (IBD),Abdominal pain - Diarrhea - Weight loss - Fatigue - Bloody stools,Dietary changes - Medications - Surgery - Stress management,5-aminosalicylates - Corticosteroids
Restless Legs Syndrome (RLS),Uncomfortable sensations in legs - Urge to move legs - Disrupted sleep - Tingling or crawling sensations,Medications - Lifestyle adjustments - Iron supplements,Pramipexole - Ropinirole
Interstitial Cystitis (IC),Pelvic pain - Urgency to urinate - Frequent urination - Pain during intercourse - Painful bladder,Bladder training - Dietary modifications - Medications - Physical therapy,Elmiron - Amitriptyline
Multiple Sclerosis,Fatigue - Numbness or tingling - Muscle weakness - Blurred or double vision - Problems with coordination,Medications - Physical therapy - Lifestyle adjustments - Supportive care,Fingolimod - Interferon beta-1a
Amyotrophic Lateral Sclerosis (ALS),Muscle weakness - Difficulty speaking - Difficulty swallowing - Muscle cramps - Twitching,Supportive care - Assistive devices - Medications - Respiratory support,Riluzole - Edaravone
Pulmonary Fibrosis,Shortness of breath - Persistent cough - Fatigue - Chest discomfort - Finger clubbing,Medications - Oxygen therapy - Pulmonary rehabilitation - Lung transplant,Pirfenidone - Nintedanib
Sickle Cell Anemia,Anemia - Painful crises - Jaundice - Fatigue - Frequent infections,Hydration - Pain management - Blood transfusions - Hydroxyurea,Hydroxyurea - L-glutamine
Myasthenia Gravis,Muscle weakness - Fatigue - Difficulty swallowing - Double vision - Facial drooping,Medications - Thymectomy - Plasmapheresis - Supportive care,Pyridostigmine - Immunosuppressants
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin
Atrial Fibrillation,Heart palpitations - Irregular heartbeat - Fatigue - Shortness of breath,Blood thinners - Medications to control heart rate - Cardioversion - Catheter ablation,Warfarin - Dabigatran
Sjögren's Syndrome,Dry eyes - Dry mouth - Joint pain - Fatigue - Swollen salivary glands,Artificial tears - Saliva substitutes - Medications - Dental care,Hydroxychloroquine - Cyclosporine
Hantavirus Pulmonary Syndrome,Fever - Muscle aches - Shortness of breath - Cough - Fatigue,Avoidance of rodent-infested areas - Rodent control - Supportive care,No specific drugs for treatment
Ankylosing Spondylitis,Lower back pain - Stiffness - Fatigue - Reduced flexibility - Hip pain,Exercise - Medications - Physical therapy,NSAIDs - TNF inhibitors
Chlamydia,Genital discharge - Painful urination - Abdominal pain - Pain during sex,Sexual education - Safe sex practices - Antibiotics,Azithromycin - Doxycycline
Gonorrhea,Genital discharge - Painful urination - Abdominal pain - Pain during sex,Sexual education - Safe sex practices - Antibiotics,Ceftriaxone - Azithromycin
Syphilis,Small painless sores - Rash - Fatigue - Fever - Hair loss,Sexual education - Safe sex practices - Antibiotics,Penicillin - Doxycycline
Trichomoniasis,Genital itching - Discharge - Painful urination - Odor,Sexual education - Safe sex practices - Antibiotics,Metronidazole - Tinidazole
Bacterial Vaginosis,Grayish-white vaginal discharge - Fishy odor - Itching - Burning during urination,Sexual education - Safe sex practices - Antibiotics,Metronidazole - Clindamycin
Pelvic Inflammatory Disease (PID),Pelvic pain - Abnormal vaginal discharge - Painful urination - Pain during sex - Fever,Early diagnosis and treatment - Antibiotics,Ceftriaxone - Doxycycline
Laryngitis,Hoarseness - Sore throat - Cough - Difficulty swallowing - Dry throat,Rest your voice - Hydration - Humidified air - Avoid irritants,Lossenges - Cough syrup
Gallstones,Abdominal pain - Jaundice - Nausea - Vomiting - Fever,Low-fat diet - Hydration - Medications - Surgery,Ursodeoxycholic acid - Cholecystectomy
Addisonian Crisis,Weakness - Fatigue - Nausea - Vomiting - Low blood pressure,Immediate medical attention - Intravenous fluids - Corticosteroids,Hydrocortisone - Dexamethasone
Pulmonary Embolism,Shortness of breath - Chest pain - Rapid heart rate - Coughing up blood - Sweating,Immediate medical attention - Blood thinners - Oxygen therapy,Heparin - Warfarin
Frostbite,Numbness - Tingling - Pale or hardened skin - Joint and muscle stiffness,Warm the affected area gradually - Avoid rubbing - Rewarm with warm water,Analgesics - Ibuprofen
Cervical Spondylosis,Neck pain - Stiffness - Headaches - Numbness or weakness in limbs,Neck exercises - Good posture - Medications - Physical therapy,NSAIDs - Muscle relaxants
Urinary Incontinence,Frequent urination - Sudden urge to urinate - Leakage of urine,Bladder training - Pelvic floor exercises - Medications - Incontinence products,Anticholinergics - Mirabegron
Costochondritis,Chest pain - Tenderness around the sternum - Pain exacerbated by movement or touch,Rest - Anti-inflammatory medications - Heat or ice therapy,NSAIDs - Acetaminophen
Achilles Tendinitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Shin Splints,Pain along the inner edge of the shinbone - Tenderness - Swelling,Rest - Ice therapy - Stretching - Proper footwear,NSAIDs - Compression sleeves
Esophageal Varices,Swollen veins in the esophagus - Difficulty swallowing - Vomiting blood - Black, tarry stools,Alcohol cessation - Medications - Endoscopic procedures - Liver transplant,Beta blockers - Octreotide
Gastroparesis,Nausea - Vomiting - Abdominal pain - Feeling full quickly - Weight loss,Dietary changes - Medications - Feeding tube - Surgery,Metoclopramide - Erythromycin
Myocarditis,Chest pain - Fatigue - Shortness of breath - Rapid or irregular heartbeats,Rest - Medications - Supportive care - Heart failure management,NSAIDs - ACE inhibitors
Pleurisy,Chest pain - Sharp or stabbing pain during breathing - Shortness of breath,Rest - Pain management - Treat underlying cause,NSAIDs - Antibiotics
Tinnitus,Ringing, buzzing, or hissing sound in the ears - Hearing loss - Dizziness,Avoid loud noises - Masking devices - Cognitive-behavioral therapy - Medications,Amitriptyline - Alprazolam
Pulmonary Hypertension,Shortness of breath - Fatigue - Chest pain - Rapid heartbeat,Medications - Oxygen therapy - Surgery - Lifestyle changes,Prostacyclin analogs - Endothelin receptor antagonists
Achalasia,Dysphagia - Regurgitation - Chest pain - Weight loss,Dilation - Botox injections - Medications - Surgery,Nitrates - Calcium channel blockers
Aplastic Anemia,Fatigue - Weakness - Pale skin - Shortness of breath - Frequent infections,Medications - Blood transfusions - Bone marrow transplant,ATG (Anti-thymocyte globulin) - Cyclosporine
Fibrous Dysplasia,Bone pain - Deformities - Fractures - Limited range of motion,Monitoring - Pain management - Surgery - Physical therapy,Bisphosphonates - Surgical intervention
Familial Hypercholesterolemia,Elevated cholesterol levels - Xanthomas (cholesterol deposits under the skin) - Premature heart disease,Cholesterol-lowering diet - Medications - Lifestyle changes,Statins - Ezetimibe
Ménière's Disease,Vertigo - Hearing loss - Tinnitus - Ear fullness,Low-sodium diet - Medications for vertigo - Stress management - Vestibular rehabilitation,Meclizine - Diazepam
Vulvodynia,Chronic vulvar pain - Burning or stinging sensation - Pain during intercourse,Topical anesthetics - Physical therapy - Medications - Psychotherapy,Amitriptyline - Gabapentin
Chronic Fatigue Syndrome,Severe fatigue - Sleep disturbances - Joint and muscle pain - Cognitive difficulties,Rest - Cognitive-behavioral therapy - Graded exercise therapy,Medications for symptom management
Mitral Valve Prolapse,Chest pain - Palpitations - Fatigue - Dizziness - Shortness of breath,Monitoring - Medications - Lifestyle changes - Regular check-ups,Beta blockers - Calcium channel blockers
Hashimoto's Thyroiditis,Fatigue - Weight gain - Dry skin - Hair loss - Cold intolerance,Thyroid hormone replacement therapy,Levothyroxine
Celiac Disease,Abdominal pain - Diarrhea - Bloating - Fatigue - Joint pain,Gluten-free diet - Avoid cross-contamination - Nutrient supplementation,Adalimumab - Infliximab
Eczema,Itchy skin - Red or brown patches - Dry, cracked skin - Swelling - Blisters,Moisturize regularly - Avoid irritants - Topical steroids - Antihistamines,Hydrocortisone - Desonide
Chronic Kidney Disease,Fatigue - Swelling - Shortness of breath - Confusion - Decreased urine output,Low-protein diet - Medications - Dialysis - Fluid control,Angiotensin-converting enzyme (ACE) inhibitors - Diuretics
Pancreatitis,Abdominal pain - Nausea - Vomiting - Fever - Rapid pulse,Fasting - Pain management - Nutritional support - Avoid alcohol and fatty foods,Morphine - Omeprazole
Dyslexia,Difficulty reading - Spelling challenges - Slow reading - Poor handwriting - Difficulty with phonics,Educational interventions - Reading programs - Speech therapy,No specific drugs for treatment
Autism Spectrum Disorder (ASD),Social challenges - Repetitive behaviors - Communication difficulties - Sensory sensitivities,Early intervention - Applied Behavior Analysis (ABA) - Speech therapy - Occupational therapy,No specific drugs for core symptoms
Chronic Lymphocytic Leukemia (CLL),Fatigue - Enlarged lymph nodes - Night sweats - Weight loss,Watchful waiting - Chemotherapy - Targeted therapy - Immunotherapy,Fludarabine - Ibrutinib
Cerebral Palsy,Muscle stiffness - Weakness - Poor coordination - Speech difficulties - Seizures,Physical therapy - Occupational therapy - Speech therapy - Assistive devices,Baclofen - Diazepam
Hypoparathyroidism,Tingling in extremities - Muscle cramps - Fatigue - Dry skin - Abdominal pain,Calcium supplements - Vitamin D supplements - Magnesium supplements,Calcitriol - Alfacalcidol
Brucellosis,Fever - Sweating - Fatigue - Joint pain - Headache,Avoid unpasteurized dairy products - Antibiotics - Animal vaccination,Doxycycline - Rifampin
Strep Throat,Sore throat - Fever - Headache - Swollen tonsils - Difficulty swallowing,Antibiotics - Rest - Hydration - Throat lozenges,Penicillin - Amoxicillin
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Diabetic Neuropathy,Numbness or tingling in extremities - Loss of sensation - Burning pain - Muscle weakness,Blood sugar control - Medications - Foot care - Physical therapy,Gabapentin - Pregabalin
Hemorrhagic Stroke,Sudden severe headache - Weakness or numbness on one side - Confusion - Difficulty speaking,Immediate medical attention - Rehabilitation - Medications for prevention,Aspirin - Clopidogrel
Bulging Disc,Back or neck pain - Numbness or tingling - Weakness - Radiating pain,Rest - Physical therapy - Medications - Heat or ice therapy,NSAIDs - Muscle relaxants
Dissociative Identity Disorder (DID),Memory gaps - Identity shifts - Distinct personalities - Mood swings,Psychotherapy - Supportive care - Medications for co-occurring conditions,Selective serotonin reuptake inhibitors (SSRIs) - Antipsychotics
Chronic Pancreatitis,Abdominal pain - Nausea - Vomiting - Weight loss - Steatorrhea (fatty stools),Low-fat diet - Pancreatic enzyme supplements - Abstinence from alcohol - Pain management,Omeprazole - Pancrelipase
Pulmonary Edema,Shortness of breath - Cough - Rapid breathing - Pink or frothy sputum,Immediate medical attention - Oxygen therapy - Diuretics - Positioning,Furosemide - Nitroglycerin
Stevens-Johnson Syndrome,Skin rash - Blistering - Fever - Joint pain - Lesions on mucous membranes,Hospitalization - Supportive care - Medications - Avoidance of triggering drugs,Corticosteroids - Intravenous immunoglobulin
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Ménière's Disease,Vertigo - Hearing loss - Tinnitus - Ear fullness,Low-sodium diet - Medications for vertigo - Stress management - Vestibular rehabilitation,Meclizine - Diazepam
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
fibromyalgia,Chronic pain - Fatigue - Sleep disturbances - Joint stiffness,Regular exercise - Stress management - Medications - Cognitive-behavioral therapy,Duloxetine - Pregabalin
Tourette Syndrome,Tics - Vocal outbursts - Repetitive movements - Behavioral issues,Behavioral therapy - Medications - Supportive care,Haloperidol - Clonidine
Fungal Nail Infection,Thickened nails - Discoloration - Brittleness - Foul odor,Good foot hygiene - Antifungal medications - Avoiding tight shoes,Fluconazole - Terbinafine
Gastroenteritis,Diarrhea - Vomiting - Abdominal cramps - Fever,Hydration - Rest - Avoiding contaminated food and water - Good hygiene,Oral rehydration solution - Loperamide
Hyperthyroidism,Weight loss - Rapid heartbeat - Nervousness - Fatigue - Sweating,Medications - Radioactive iodine therapy - Surgery,Methimazole - Propylthiouracil
Hypothyroidism,Weight gain - Fatigue - Dry skin - Hair loss - Cold intolerance,Thyroid hormone replacement therapy,Levothyroxine
Polycystic Ovary Syndrome (PCOS),Irregular periods - Ovulatory dysfunction - Hirsutism - Acne - Insulin resistance,Lifestyle changes - Medications - Hormonal therapy,Metformin - Combined oral contraceptives
Premenstrual Syndrome (PMS),Mood swings - Fatigue - Bloating - Breast tenderness - Irritability,Lifestyle changes - Medications - Stress management,NSAIDs - Selective serotonin reuptake inhibitors (SSRIs)
Vitamin D Deficiency,Fatigue - Bone pain - Muscle weakness - Joint pain,Vitamin D supplementation - Sun exposure - Dietary changes,Cholecalciferol - Ergocalciferol
Ovarian Cyst,Pelvic pain - Bloating - Irregular menstruation - Pain during sex,Watchful waiting - Birth control pills - Surgery - Pain management,Oral contraceptives - NSAIDs
Impetigo,Red sores - Blisters - Itching - Yellowish-brown crusts,Good hygiene - Antibiotic ointment - Oral antibiotics,Mupirocin - Cephalexin
Molluscum Contagiosum,Small flesh-colored bumps - Itching - Rash,Avoid skin-to-skin contact - Avoid sharing personal items - Cryotherapy - Topical treatments,Imiquimod - Cantharidin
Migraine,Severe headache - Nausea - Sensitivity to light and sound,Identifying triggers - Medications for acute attacks - Preventive medications,Sumatriptan - Propranolol
Chronic Obstructive Pulmonary Disease (COPD),Chronic cough - Shortness of breath - Wheezing - Chest tightness,Smoking cessation - Bronchodilators - Inhaled corticosteroids - Pulmonary rehabilitation,Albuterol - Tiotropium
Gastritis,Abdominal pain - Nausea - Vomiting - Loss of appetite,Acid-reducing medications - Dietary changes - Avoiding irritants - Stress management,Omeprazole - Ranitidine
Raynaud's Disease,Numbness or tingling in fingers and toes - Color changes in extremities,Keeping warm - Stress management - Medications,Calcium channel blockers - Nifedipine
Gingivitis,Redness and swelling of gums - Bleeding gums - Bad breath,Good oral hygiene - Regular dental check-ups - Antiseptic mouthwashes,Chlorhexidine - Fluoride toothpaste
Interstitial Cystitis (IC),Pelvic pain - Urgency to urinate - Frequent urination - Pain during intercourse - Painful bladder,Bladder training - Dietary modifications - Medications - Physical therapy,Elmiron - Amitriptyline
Restless Legs Syndrome (RLS),Uncomfortable sensations in legs - Urge to move legs - Disrupted sleep - Tingling or crawling sensations,Medications - Lifestyle adjustments - Iron supplements,Pramipexole - Ropinirole
Osteoporosis,Fractures - Loss of height - Back pain - Stooped posture,Calcium and vitamin D supplementation - Weight-bearing exercises - Medications,Alendronate - Risedronate
Aphthous Ulcers,Mouth sores - Painful ulcers - Difficulty eating or talking,Avoiding trigger foods - Topical treatments - Mouth rinses,Corticosteroid ointments - Topical anesthetics
Lupus,Joint pain - Fatigue - Skin rashes - Fever - Kidney problems,Medications - Sun protection - Regular check-ups - Lifestyle modifications,Hydroxychloroquine - Prednisone
Insomnia,Difficulty falling or staying asleep - Daytime fatigue - Impaired concentration,Sleep hygiene - Cognitive-behavioral therapy for insomnia (CBT-I) - Medications,Melatonin - Zolpidem
Otitis Media,Ear pain - Hearing loss - Fluid drainage - Fever,Antibiotics - Pain management - Warm compresses - Ear drops,Amoxicillin - Ciprofloxacin
Gastroesophageal Reflux Disease (GERD),Heartburn - Regurgitation - Chest pain - Difficulty swallowing,Lifestyle changes - Acid-reducing medications - Avoiding trigger foods,Omeprazole - Ranitidine
Bruxism (Teeth Grinding),Jaw pain - Tooth sensitivity - Headaches - Worn-down teeth,Stress management - Mouthguards - Dental care,Botulinum toxin injections - Muscle relaxants
Bacterial Pneumonia,Cough - Fever - Shortness of breath - Chest pain,Antibiotics - Rest - Hydration - Pain management,Amoxicillin - Azithromycin
Fibroids (Uterine),Pelvic pain - Heavy menstrual bleeding - Frequent urination - Backache,Watchful waiting - Medications - Surgery - Uterine artery embolization,NSAIDs - Birth control pills
Lyme Disease,Fatigue - Fever - Headache - Muscle and joint aches - Bull's-eye rash,Preventing tick bites - Antibiotics,Doxycycline - Amoxicillin
Dysmenorrhea (Menstrual Cramps),Abdominal pain - Backache - Headache - Nausea,Heat therapy - Pain medications - Birth control pills,Ibuprofen - Naproxen
Bell's Palsy,Facial weakness or paralysis on one side - Drooping of the mouth or eye - Loss of taste,Treat underlying cause - Physical therapy - Eye protection,Prednisone - Antiviral medications
Hemorrhoids,Rectal bleeding - Itching - Pain during bowel movements,High-fiber diet - Sitz baths - Topical treatments - Lifestyle changes,Hydrocortisone - Witch hazel
Cushing's Syndrome,Weight gain - Fatigue - High blood pressure - Moon face - Easy bruising,Treat underlying cause - Medications - Surgery,Metyrapone - Ketoconazole
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Bell's Palsy,Facial weakness or paralysis on one side - Drooping of the mouth or eye - Loss of taste,Treat underlying cause - Physical therapy - Eye protection,Prednisone - Antiviral medications
Hemorrhoids,Rectal bleeding - Itching - Pain during bowel movements,High-fiber diet - Sitz baths - Topical treatments - Lifestyle changes,Hydrocortisone - Witch hazel
Cushing's Syndrome,Weight gain - Fatigue - High blood pressure - Moon face - Easy bruising,Treat underlying cause - Medications - Surgery,Metyrapone - Ketoconazole
Hypoparathyroidism,Tingling in extremities - Muscle cramps - Fatigue - Dry skin - Abdominal pain,Calcium supplements - Vitamin D supplements - Magnesium supplements,Calcitriol - Alfacalcidol
Brucellosis,Fever - Sweating - Fatigue - Joint pain - Headache,Avoid unpasteurized dairy products - Antibiotics - Animal vaccination,Doxycycline - Rifampin
Strep Throat,Sore throat - Fever - Headache - Swollen tonsils - Difficulty swallowing,Antibiotics - Rest - Hydration - Throat lozenges,Penicillin - Amoxicillin
Carpal Tunnel Syndrome,Numbness or tingling in fingers - Hand weakness - Pain radiating up the arm,Rest - Wrist splints - Corticosteroid injections - Surgery,NSAIDs - Gabapentin
Addison's Disease,Chronic fatigue - Weight loss - Muscle weakness - Low blood pressure - Darkening of skin,Adequate salt intake - Hormone replacement therapy,Hydrocortisone - Fludrocortisone
Diabetic Neuropathy,Numbness or tingling in extremities - Loss of sensation - Burning pain - Muscle weakness,Blood sugar control - Medications - Foot care - Physical therapy,Gabapentin - Pregabalin
Hemorrhagic Stroke,Sudden severe headache - Weakness or numbness on one side - Confusion - Difficulty speaking,Immediate medical attention - Rehabilitation - Medications for prevention,Aspirin - Clopidogrel
Bulging Disc,Back or neck pain - Numbness or tingling - Weakness - Radiating pain,Rest - Physical therapy - Medications - Heat or ice therapy,NSAIDs - Muscle relaxants
Dissociative Identity Disorder (DID),Memory gaps - Identity shifts - Distinct personalities - Mood swings,Psychotherapy - Supportive care - Medications for co-occurring conditions,Selective serotonin reuptake inhibitors (SSRIs) - Antipsychotics
Chronic Pancreatitis,Abdominal pain - Nausea - Vomiting - Weight loss - Steatorrhea (fatty stools),Low-fat diet - Pancreatic enzyme supplements - Abstinence from alcohol - Pain management,Omeprazole - Pancrelipase
Pulmonary Edema,Shortness of breath - Cough - Rapid breathing - Pink or frothy sputum,Immediate medical attention - Oxygen therapy - Diuretics - Positioning,Furosemide - Nitroglycerin
Stevens-Johnson Syndrome,Skin rash - Blistering - Fever - Joint pain - Lesions on mucous membranes,Hospitalization - Supportive care - Medications - Avoidance of triggering drugs,Corticosteroids - Intravenous immunoglobulin
Granulomatosis with Polyangiitis (GPA),Sinusitis - Shortness of breath - Cough - Fatigue - Joint pain,Immunosuppressive therapy - Steroids - Rituximab - Plasmapheresis,Cyclophosphamide - Methotrexate
Toxoplasmosis,Fever - Muscle aches - Headache - Swollen lymph nodes - Fatigue,Cook meat thoroughly - Wash fruits and vegetables - Avoid contact with cat feces,Pyrithiamine - Sulfadiazine
Huntington's Disease,Chorea (involuntary movements) - Cognitive decline - Behavioral changes - Difficulty swallowing - Weight loss,Symptomatic treatment - Supportive care - Genetic counseling,No specific drugs for disease modification
Brugada Syndrome,Irregular heartbeat - Fainting - Sudden cardiac arrest,Implantable cardioverter-defibrillator (ICD) - Avoidance of triggers - Medications,Quinidine - Isoproterenol
Hypoplastic Left Heart Syndrome (HLHS),Cyanosis (bluish skin) - Rapid breathing - Poor feeding - Cold extremities,Surgery - Medications - Oxygen therapy,Prostaglandin E1 - Diuretics
Neuroblastoma,Abdominal mass - Weight loss - Fatigue - Bone pain,Chemotherapy - Surgery - Radiation therapy - Immunotherapy,Cyclophosphamide - Doxorubicin
Maple Syrup Urine Disease (MSUD),Sweet-smelling urine - Poor feeding - Vomiting - Neurological symptoms,Dietary restrictions - Amino acid supplements - Monitoring,Biotin - Thiamine
Lewy Body Dementia,Mental decline - Visual hallucinations - Parkinsonism symptoms - Fluctuating alertness,Symptomatic treatment - Supportive care - Medications for cognitive symptoms,Donepezil - Rivastigmine
Achilles Tendonitis,Heel pain - Swelling - Stiffness - Tenderness,Rest - Ice therapy - Stretching exercises - Orthotic shoes,NSAIDs - Physical therapy
Dupuytren's Contracture,Thickening of the palm - Formation of lumps or cords - Finger contracture,Hand exercises - Stretching - Injections - Surgery,Collagenase injections - Needle aponeurotomy
Bursitis,Joint pain - Swelling - Stiffness - Redness - Limited range of motion,Rest - Ice therapy - Compression - Elevation,NSAIDs - Corticosteroid injections
Rotator Cuff Tear,Shoulder pain - Weakness - Limited range of motion,Rest - Ice therapy - Physical therapy - Shoulder exercises,NSAIDs - Corticosteroid injections
Labyrinthitis,Dizziness - Vertigo - Nausea - Hearing loss - Tinnitus,Rest - Medications for nausea - Vestibular rehabilitation - Avoid sudden movements,Meclizine - Dimenhydrinate
Shin Splints,Pain along the inner edge of the shinbone - Tenderness - Swelling,Rest - Ice therapy - Stretching - Proper footwear,NSAIDs - Compression sleeves
Esophageal Varices,Swollen veins in the esophagus - Difficulty swallowing - Vomiting blood - Black, tarry stools,Alcohol cessation - Medications - Endoscopic procedures - Liver transplant,Beta blockers - Octreotide
Gastroparesis,Nausea - Vomiting - Abdominal pain - Feeling full quickly - Weight loss,Dietary changes - Medications - Feeding tube - Surgery,Metoclopramide - Erythromycin
Myocarditis,Chest pain - Fatigue - Shortness of breath - Rapid or irregular heartbeats,Rest - Medications - Supportive care - Heart failure management,NSAIDs -
Pulmonary Fibrosis,Shortness of breath - Persistent dry cough - Fatigue - Unexplained weight loss,Avoiding lung irritants - Oxygen therapy - Pulmonary rehabilitation - Lung transplant,Pirfenidone - Nintedanib
Wilson's Disease,Fatigue - Jaundice - Abdominal pain - Neurological symptoms,Low copper diet - Chelation therapy - Liver transplantation,Penicillamine - Trientine
Hypertrophic Cardiomyopathy,Chest pain - Shortness of breath - Fatigue - Rapid or irregular heartbeat,Monitoring - Medications - Lifestyle changes - Surgery,Beta blockers - Calcium channel blockers
Essential Tremor,Tremors - Shaking hands - Head nodding - Voice tremor,Avoiding triggers - Medications - Deep brain stimulation,Propranolol - Primidone
Anorexia Nervosa,Extreme weight loss - Intense fear of gaining weight - Distorted body image,Psychotherapy - Nutritional counseling - Medical monitoring,Olanzapine - Fluoxetine
Binge Eating Disorder,Episodic overeating - Loss of control - Feelings of guilt or shame,Cognitive-behavioral therapy - Medications - Nutritional counseling,Fluoxetine - Sertraline
Avoidant/Restrictive Food Intake Disorder (ARFID),Limited food preferences - Avoidance of certain textures or smells - Nutritional deficiencies,Behavioral therapy - Nutritional counseling - Multidisciplinary support,Exposure therapy - Tube feeding
Interstitial Lung Disease,Shortness of breath - Dry cough - Fatigue - Chest pain,Smoking cessation - Oxygen therapy - Pulmonary rehabilitation - Lung transplant,Corticosteroids - Cyclophosphamide
Behçet's Disease,Oral ulcers - Genital sores - Eye inflammation - Joint pain,Immunosuppressive therapy - Topical treatments - Eye protection - Lifestyle modifications,Colchicine - Azathioprine
Pemphigus,Blistering of skin and mucous membranes - Painful sores,Immunosuppressive therapy - Topical treatments - Wound care - Avoiding triggers,Glucocorticoids - Rituximab
